year,month,carrier,carrier_name,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2020,12,OO,SkyWest Airlines,IRnKc.S,45.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,145.0,145.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IRnNc.O,370.0,25.0,19.0,2.0,0.0,0.0,4.0,0.0,0.0,978.0,729.0,40.0,0.0,0.0,209.0
2020,12,OO,SkyWest Airlines,IRnOc.A,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IRnOc.C,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,IRnOc.W,57.0,6.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,198.0,24.0,0.0,0.0,0.0,174.0
2020,12,OO,SkyWest Airlines,IRnSc.T,92.0,9.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,1112.0,395.0,687.0,0.0,0.0,30.0
2020,12,OO,SkyWest Airlines,ISnAc.F,96.0,18.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,2088.0,1201.0,0.0,0.0,0.0,887.0
2020,12,OO,SkyWest Airlines,ISnAc.N,512.0,39.0,24.0,1.0,1.0,0.0,13.0,2.0,2.0,1896.0,1049.0,15.0,16.0,0.0,816.0
2020,12,OO,SkyWest Airlines,ISnAc.T,324.0,63.0,50.0,10.0,1.0,0.0,2.0,2.0,0.0,2564.0,1839.0,472.0,88.0,0.0,165.0
2020,12,OO,SkyWest Airlines,ISnAc.V,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,ISnBc.A,176.0,11.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,484.0,301.0,0.0,0.0,0.0,183.0
2020,12,OO,SkyWest Airlines,ISnBc.N,240.0,32.0,25.0,2.0,1.0,0.0,4.0,2.0,0.0,1729.0,1494.0,60.0,46.0,0.0,129.0
2020,12,OO,SkyWest Airlines,ISnBc.P,266.0,24.0,16.0,0.0,0.0,0.0,8.0,0.0,1.0,1159.0,741.0,0.0,0.0,0.0,418.0
2020,12,OO,SkyWest Airlines,ISnCc.E,32.0,10.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,600.0,472.0,128.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,ISnDc.F,30.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,402.0,335.0,0.0,0.0,0.0,67.0
2020,12,OO,SkyWest Airlines,ISnEc.A,1883.0,160.0,109.0,35.0,3.0,0.0,13.0,16.0,10.0,10028.0,4687.0,4435.0,258.0,0.0,648.0
2020,12,OO,SkyWest Airlines,ISnFc.O,2667.0,195.0,125.0,26.0,8.0,0.0,36.0,14.0,5.0,15447.0,9334.0,2294.0,1355.0,0.0,2464.0
2020,12,OO,SkyWest Airlines,ISnGc.F,114.0,16.0,11.0,2.0,0.0,0.0,3.0,1.0,0.0,822.0,484.0,129.0,0.0,0.0,209.0
2020,12,OO,SkyWest Airlines,ISnGc.U,283.0,22.0,17.0,3.0,0.0,0.0,2.0,1.0,0.0,1384.0,1099.0,226.0,0.0,0.0,59.0
2020,12,OO,SkyWest Airlines,ISnHc.D,53.0,11.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,525.0,441.0,0.0,0.0,0.0,84.0
2020,12,OO,SkyWest Airlines,ISnHc.R,53.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,273.0,171.0,0.0,0.0,0.0,102.0
2020,12,OO,SkyWest Airlines,ISnHc.V,133.0,14.0,11.0,1.0,0.0,0.0,2.0,1.0,1.0,452.0,298.0,21.0,0.0,0.0,133.0
2020,12,OO,SkyWest Airlines,ISnJcC.,607.0,3.0,32.0,7.0,0.0,0.0,14.0,4.0,1.0,3006.0,1458.0,771.0,0.0,0.0,777.0
2020,12,OO,SkyWest Airlines,ISnLcC.,4062.0,411.0,316.0,77.0,2.0,0.0,16.0,10.0,0.0,36490.0,26348.0,8651.0,331.0,0.0,1160.0
2020,12,OO,SkyWest Airlines,ISnLcN.,53.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,220.0,127.0,0.0,0.0,0.0,93.0
2020,12,OO,SkyWest Airlines,ISnMc.F,398.0,25.0,12.0,7.0,0.0,1.0,5.0,0.0,3.0,1606.0,684.0,470.0,0.0,153.0,299.0
2020,12,OO,SkyWest Airlines,ISnNc.A,229.0,5.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,765.0,665.0,0.0,0.0,0.0,100.0
2020,12,OO,SkyWest Airlines,ISnRc.Q,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,ISnTc.L,214.0,24.0,22.0,0.0,0.0,0.0,2.0,0.0,0.0,843.0,778.0,0.0,0.0,0.0,65.0
2020,12,OO,SkyWest Airlines,ISnTc.S,76.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,155.0,38.0,0.0,0.0,0.0,117.0
2020,12,OO,SkyWest Airlines,ISnUc.N,170.0,4.0,31.0,2.0,1.0,0.0,0.0,0.0,4.0,1102.0,886.0,195.0,21.0,0.0,0.0
2020,12,OO,SkyWest Airlines,ISnUc.X,29.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,165.0,87.0,0.0,0.0,0.0,78.0
2020,12,OO,SkyWest Airlines,ISnYc.R,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,12,OO,SkyWest Airlines,ITnLcH.,42.0,7.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,586.0,232.0,0.0,0.0,0.0,354.0
2020,12,OO,SkyWest Airlines,ITnPc.A,9.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,152.0,130.0,0.0,22.0,0.0,0.0
2020,12,OO,SkyWest Airlines,ITnRc.I,31.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,352.0,103.0,0.0,49.0,0.0,200.0
2020,12,OO,SkyWest Airlines,ITnUc.L,141.0,28.0,21.0,0.0,1.0,0.0,6.0,1.0,1.0,1477.0,1075.0,0.0,142.0,0.0,260.0
